# A tibble: 28 × 10
   cluster_number cluster_size mor_hat se_mor_hat sigma_b2_hat beta0_hat beta1_hat beta2_hat coverage sim_se_mor_hat
            <dbl>        <dbl>   <dbl>      <dbl>        <dbl>     <dbl>     <dbl>     <dbl>    <dbl>          <dbl>
 1             10            5    4.74       2.76         2.57      2.28      1.76     0.656      1            2.39 
 2             30            5    5.25       1.75         2.80      1.75      1.90     0.999      1            3.56 
 3             50            5    4.28       1.48         2.28      2.02      1.73     0.842      1            1.46 
 4            100            5    4.84       1.34         2.71      2.03      1.79     0.765      1            0.992
 5             10           10    6.01       2.21         3.25      2.13      1.90     0.595      1            4.18 
 6             30           10    5.14       1.47         2.83      2.12      1.91     0.844      0.8          2.34 
 7             50           10    4.70       1.32         2.60      1.90      1.77     0.688      0.9          1.11 
 8            100           10    4.50       1.22         2.47      2.03      1.76     0.711      0.9          0.614
 9             10           15    7.05       2.03         3.62      2.37      1.85     1.01       0.9          6.29 
10             30           15    4.99       1.38         2.77      2.27      1.95     0.618      0.8          1.83 
11             50           15    4.78       1.28         2.64      2.11      1.84     0.548      0.9          1.51 
12            100           15    4.35       1.18         2.36      2.04      1.74     0.637      0.7          0.928
13             10           20    5.52       1.79         3.10      2.32      1.84     0.637      1            2.23 
14             30           20    4.22       1.31         2.27      1.92      1.75     0.701      1            0.504
15             50           20    4.59       1.25         2.52      1.95      1.75     0.752      0.8          1.13 
16            100           20    4.92       1.17         2.78      2.06      1.74     0.722      0.1          0.714
17             10           30    5.08       1.56         2.52      1.94      1.75     0.785      0.9          4.89 
18             30           30    5.12       1.31         2.88      1.83      1.77     0.773      0.7          1.54 
19             50           30    4.46       1.22         2.42      1.99      1.73     0.625      0.8          1.22 
20            100           30    4.55       1.15         2.51      2.01      1.73     0.644      0.4          0.697
21             10           40    4.93       1.59         2.68      2.34      1.79     0.633      1            2.27 
22             30           40    3.92       1.25         2.04      2.14      1.69     0.674      1            0.714
23             50           40    4.71       1.21         2.62      2.11      1.74     0.658      0.7          0.733
24            100           40    4.38       1.14         2.39      2.02      1.77     0.644      0.4          0.666
25             10           50    4.08       1.47         2.15      2.25      1.74     0.597      0.9          1.24 
26             30           50    4.56       1.26         2.49      2.09      1.76     0.639      0.8          1.21 
27             50           50    4.56       1.20         2.48      1.95      1.71     0.723      0.7          1.49 
28            100           50    4.62       1.14         2.56      2.03      1.73     0.636      0.3          0.704
